
2025/01/19 (11:50:36) | ===> btop++ v.1.4.0
2025/01/19 (11:50:36) | WARNING: Failed to set locale en_US.utf8 continuing anyway.

2025/01/19 (12:28:40) | ===> btop++ v.1.4.0
2025/01/19 (12:28:40) | WARNING: Failed to set locale en_US.utf8 continuing anyway.

2025/01/19 (12:36:36) | ===> btop++ v.1.4.0
2025/01/19 (12:36:36) | WARNING: Failed to set locale en_US.utf8 continuing anyway.

2025/01/20 (05:37:32) | ===> btop++ v.1.4.0
2025/01/20 (05:37:32) | WARNING: Failed to set locale en_US.utf8 continuing anyway.

2025/01/20 (05:37:36) | ===> btop++ v.1.4.0
2025/01/20 (05:37:36) | WARNING: Failed to set locale en_US.utf8 continuing anyway.
